[2017-11-30 02:05:21] [info]  [ 2624] Commons Daemon procrun (1.0.15.0 64-bit) started
[2017-11-30 02:05:22] [info]  [ 2624] Running 'Tomcat8' Service...
[2017-11-30 02:05:22] [info]  [ 2404] Starting service...
[2017-11-30 02:05:24] [info]  [ 2404] Service started in 1590 ms.
[2017-11-30 02:11:32] [info]  [ 3652] Console SHUTDOWN event signaled
[2017-11-30 02:11:32] [info]  [ 3652] Stopping service...
[2017-11-30 02:11:33] [info]  [ 3652] Service stop thread completed.
[2017-11-30 02:11:33] [info]  [ 2624] Run service finished.
[2017-11-30 02:11:33] [info]  [ 2624] Commons Daemon procrun finished
[2017-11-30 08:11:51] [info]  [ 2592] Commons Daemon procrun (1.0.15.0 64-bit) started
[2017-11-30 08:11:51] [info]  [ 2592] Running 'Tomcat8' Service...
[2017-11-30 08:11:52] [info]  [ 2760] Starting service...
[2017-11-30 08:11:54] [info]  [ 2760] Service started in 1671 ms.
[2017-11-30 17:56:39] [info]  [11588] Console SHUTDOWN event signaled
[2017-11-30 17:56:39] [info]  [11588] Stopping service...
[2017-11-30 17:56:40] [info]  [11588] Service stop thread completed.
[2017-11-30 17:56:40] [info]  [ 2592] Run service finished.
[2017-11-30 17:56:40] [info]  [ 2592] Commons Daemon procrun finished
[2017-11-30 22:31:07] [info]  [ 2680] Commons Daemon procrun (1.0.15.0 64-bit) started
[2017-11-30 22:31:07] [info]  [ 2680] Running 'Tomcat8' Service...
[2017-11-30 22:31:07] [info]  [ 2528] Starting service...
[2017-11-30 22:31:09] [info]  [ 2528] Service started in 1549 ms.
[2017-12-01 22:50:32] [info]  [ 7688] Console SHUTDOWN event signaled
[2017-12-01 22:50:32] [info]  [ 7688] Stopping service...
[2017-12-01 22:50:33] [info]  [ 7688] Service stop thread completed.
[2017-12-01 22:50:33] [info]  [ 2680] Run service finished.
[2017-12-01 22:50:33] [info]  [ 2680] Commons Daemon procrun finished
