[2018-01-15 08:17:14] [info]  [ 2644] Commons Daemon procrun (1.0.15.0 64-bit) started
[2018-01-15 08:17:15] [info]  [ 2644] Running 'Tomcat8' Service...
[2018-01-15 08:17:15] [info]  [ 2616] Starting service...
[2018-01-15 08:17:17] [info]  [ 2616] Service started in 1723 ms.
[2018-01-16 16:07:11] [info]  [10592] Console SHUTDOWN event signaled
[2018-01-16 16:07:11] [info]  [10592] Stopping service...
[2018-01-16 16:07:13] [info]  [10592] Service stop thread completed.
[2018-01-16 16:07:13] [info]  [ 2644] Run service finished.
[2018-01-16 16:07:13] [info]  [ 2644] Commons Daemon procrun finished
